title,link,institution,subject,level,prerequisites,language,videotranscript,associatedprograms,associatedskills
Introduction to ProbabilityManagement,https://www.edx.org/learn/probability/stanford-university-introduction-to-probability-management,Stanford University,Data Analysis & Statistics,Introductory,None,English,English,None,"Communications, Probability, Microsoft Excel, Management, Statistics"
China and Communism,https://www.edx.org/learn/communist-china/harvard-university-china-and-communism,Harvard University,History,Introductory,None,English,None,XSeriesinHistory of China: The Modern Era,None
The Jewish Bible: ItsHistory As A PhysicalArtifact,https://www.edx.org/learn/history/harvard-university-the-jewish-bible-its-history-as-a-physical-artifact,Harvard University,Humanities,Introductory,None,English,English,None,None
The What and How ofEsports Management!,https://www.edx.org/learn/sports-business/hp-the-what-and-how-of-esports-management,HP,Computer Science,Introductory,None,English,None,Professional Certificate inEsports Management and Game Development,"Marketing, Innovation, Content Creation, eSports, Video Game Development, eSports Management"
Design ThinkingFundamentals,https://www.edx.org/learn/design-thinking/rochester-institute-of-technology-design-thinking-fundamentals,Rochester Institute of Technology,Business & Management,Intermediate,None,English,English,MicroMasters®PrograminDesign Thinking,"Innovation, Design Thinking"
Sustainable Cities,https://www.edx.org/learn/sustainability/sdg-academy-sustainable-cities,SDG Academy,Environmental Studies,Intermediate,None.,English,None,Professional Certificate inSustainable Cities and Urban Development,"Urban Sustainability, Sustainable Business, Sustainability, Economics, Infrastructure, Resilience, Telecommunications, Real Estate, Public Policies, Sustainable Development, Real Estate Development"
Abnormal Psychology,https://www.edx.org/learn/abnormal-psychology/doane-university-abnormal-psychology,Doane University,Humanities,Intermediate,None,English,English,None,"Abnormal Psychology, Diagnostic And Statistical Manual Of Mental Disorders, Biology, Psychology, Auditing"
Intro Course:Spreadsheets andStatistics,https://www.edx.org/learn/statistics/edx-intro-course-spreadsheets-and-statistics,edX,Data Analysis & Statistics,Introductory,None.,English,None,None,"Google Sheets, Spreadsheets, Anatomy"
Introducción a la genéticay la evolución,https://www.edx.org/learn/genetics/universidad-autonoma-de-madrid-introduccion-a-la-genetica-y-la-evolucion,Universidad Autónoma de Madrid,Biology & Life Sciences,Introductory,Ninguno.,Español,Español,None,"Psychology, Associate Degree In Nursing, Genetics, Viral Diseases, Biology, Biotechnology, Demonstration Skills"
Digital Design,https://www.edx.org/learn/digital-design/the-hong-kong-university-of-science-and-technology-digital-design,The Hong Kong University of Scie…,Design,Introductory,Secondary school (high school) algebra; basic programming concepts,English,English,None,"Virtual Reality, Augmented Reality, Digital Design, Rigging, Key Frame, Computer-Aided Design"
Debate y argumentación,https://www.edx.org/learn/humanities/universidad-del-rosario-debate-y-argumentacion,Universidad del Rosario,Humanities,Introductory,None,Español,Español,Professional Certificate inTécnicas de debate y argumentación,"Strategic Decision-Making, Management, Communications, Debating, Persuasive Communication"
Penetration Testing andIncident Response,https://www.edx.org/learn/penetration-testing/ibm-penetration-testing-and-incident-response,IBM,Computer Science,Introductory,No previous experience necessary!,English,None,Professional Certificate inCybersecurity Analyst,None
"¡Luces, celular y acción!Crea contenidosaudiovisuales de impacto",https://www.edx.org/learn/marketing/pontificia-universidad-javeriana-comunicacion-audiovisual-desde-tu-smartphone,Pontificia Universidad Javeriana,Communication,Introductory,Ninguno,Español,Español,None,"Smartphone Operation, Value Propositions, Marketing, Data Science, Economics, Communications"
Marketing enfocado en laestrategia de servicios,https://www.edx.org/learn/marketing/universidad-nacional-de-cordoba-marketing-enfocado-en-la-estrategia-de-servicios,Universidad Nacional de Córdoba,Business & Management,Introductory,Ninguno,Español,None,MicroMasters®PrograminGestión de servicios: diseño de experiencias exitosas,"Service Strategy, Human Resource Management, Management, Marketing, Communications, Operations"
Fundamentos de logística,https://www.edx.org/learn/logistics/logyca-fundamentos-de-logistica,LOGYCA,Engineering,Introductory,El estudiante debe tener preferencia por las ciencias exactas y se interesará en adquirir nuevas destrezas para plantear soluciones a las necesidades de la sociedad.,Español,Español,Professional CertificateinIntroducción a la logística,"Outsourcing, Consolidation, Operations, Strategic Thinking"
Machine learning withPython for financeprofessionals,https://www.edx.org/learn/python/acca-machine-learning-with-python-for-finance-professionals,ACCA,Computer Science,Intermediate,None,English,English,Professional CertificateinFinTech for Finance and Business Leaders,"Finance, Financial Technology (FinTech), Association Of Chartered Certified Accountants, Python (Programming Language), Jupyter, Machine Learning, Customer Service, Business Strategies"
Quantum Mechanics,https://www.edx.org/learn/quantum-physics-mechanics/georgetown-university-quantum-mechanics,Georgetown University,Physics,Intermediate,None,English,English,Professional CertificateinFoundations of Quantum Sensing,"Basic Math, Mechanics, Chemistry, Experimentation, Quantum Information, Quantum Mechanics, Quantum Computing, Physics, Calculus, Modern Physics, Communications"
Agile Innovation andProblem Solving Skills,https://www.edx.org/learn/agile/the-university-of-maryland-college-park-agile-innovation-and-problem-solving-skills,"The University of Maryland, CollegePark…",Engineering,Advanced,None,English,None,Professional Certificate inAgile Project Management,"PMI Agile Certified Practitioner, Critical Thinking, Creative Thinking, Business Modeling, Certified Scrum Master, Timeboxing, User Story, Requirements Elicitation, Business Valuation, Project Management Institute (PMI) Methodology, Scrum (Software Development), Innovation, Agile Leadership, Problem Solving, Agile Methodology, Empathy, Test-Driven Development (TDD), Thinking Processes, Risk Management, Project Management Professional Certification"
Mandarin ChineseEssentials,https://www.edx.org/learn/mandarin-chinese/mandarinx-mandarin-chinese-essentials,MandarinX,Language,Introductory,None,English,English,Professional Certificate inMandarin Essentials for BeginnersProfessional Certificate inBusiness Mandarin Essentials,"Mandarin Chinese, Pronunciation, Grammar, Communications"
The Essentials of DataLiteracy Online Course,https://www.edx.org/learn/r-programming/davidson-college-the-essentials-of-data-literacy-online-course,Davidson College,Data Analysis & Statistics,Introductory,None,English,English,Professional Certificate inFundamentals of Data Visualization with Power BIProfessional Certificate inWeb App Development for Data ScientistsProfessional Certificate inData Analysis Basics with Excel and R,"Data Literacy, Data Auditing, Communications, Data Analysis, R (Programming Language), Data Visualization, Critical Thinking, Statistical Programming"
"Endocrine, Renal andGastrointestinal Systems",https://www.edx.org/learn/human-biology/the-university-of-queensland-endocrine-renal-and-gastrointestinal-systems,The University of Queensland,Medicine,Introductory,None,English,English,Professional Certificate inSystems Physiology,"Endocrine Systems, Gastroenterology, Biological Systems, Homeostasis, Metabolism, Pancreas, Physiology, Digestive System"
Intro Course: DataStorytelling,https://www.edx.org/learn/data-visualization/edx-intro-course-data-storytelling,edX,Business & Management,Introductory,None.,English,None,None,"Design Elements And Principles, Presentations, Data Storytelling, Visual Design, Storytelling"
Introduction to UserExperience,https://www.edx.org/learn/user-experience-ux/hec-montreal-introduction-to-user-experience,HEC Montréal,Computer Science,Intermediate,None,English,English,MicroMasters®Program inUX Design and Evaluation,"Research, Innovation, User Experience, Mobile Application Development, Ideation, Usability, UX Research, Research Design, Prototyping, User Experience Design (UX), Human-Centered Design, Self Service Technologies, Design Thinking, Human Factors"
Linear Algebra II: MatrixAlgebra,https://www.edx.org/learn/linear-algebra/the-georgia-institute-of-technology-linear-algebra-ii-matrix-algebra,The Georgia Institute of Technology,Math,Intermediate,None,English,English,Professional CertificateinIntroductory Linear Algebra,"Algorithms, Operations, Economics, Matrix Algebra, Linear Algebra, Basic Math, Linear Equations"
Diseña presentacioneseficaces con Powerpoint,https://www.edx.org/learn/public-speaking/universitat-politecnica-de-valencia-disena-presentaciones-eficaces-con-powerpoint,Universitat Politècnica de València,Computer Science,Introductory,Para seguir este curso no necesitas más que conocimientos básicos de utilización de Microsoft Windows,Español,Español,"Professional CertificateinFundamentos de Microsoft Office para la empresaProfessional CertificateinHerramientas TIC para la educaciónProfessional CertificateinHerramientas de presentación: Power Point, Photoshop e Illustrator","Microsoft PowerPoint, Presentations"
Computer Architecture,https://www.edx.org/learn/computer-architecture/harvey-mudd-college-computer-architecture,Harvey Mudd College,Engineering,Introductory,"This courses assumes you have taken ENGR85A or an equivalent course on Digital Design covering combinational and sequential logic design, Verilog, and building blocks such as multiplexers, ALUs, and memories. It assumes you have the lab kit from ENGR85A (Syllabus -> Hardware and Software Requirements).",English,English,None,"Digital Design, Combinational Logic, Computer Architecture"
Let's Get Started: BuildingSelf-Awareness,https://www.edx.org/learn/leadership/the-university-of-maryland-college-park-let-s-get-started-building-self-awareness,"The University of Maryland, CollegePark…",Business & Management,Introductory,None,English,English,Professional Certificate inRe-Imagining Leadership,"Self-Awareness, Decision Making, Business Case, Practice Management, Emotional Intelligence, Self Evaluation, Cognitive Style, Leadership, Management, Goal Setting"
Enterprise Selling,https://www.edx.org/learn/enterprise-sales/queens-university-enterprise-selling,Queen’s University,Business & Management,Introductory,None,English,English,Professional Certificate inEnterprise Sales,"Sales Process, Marketing, Sales, Sales Concepts, Communications, Consulting, Selling Techniques, Sales Strategy"
Natural LanguageProcessing: Foundations,https://www.edx.org/learn/natural-language-processing/the-national-university-of-singapore-natural-language-processing-foundations,The National University of Singap…,Computer Science,Introductory,"Probability and Statistics, Introductory LevelPython Programming, Intermediate Level",English,English,None,None
Business WritingTechniques,https://www.edx.org/learn/business-communications/doane-university-business-writing-techniques,Doane University,Communication,Introductory,None,English,English,MicroBachelors Program inBusiness and Professional Communication for Success,"Proofreading, Business Communication, Communications, Business Writing, Business Presentations"
Using Email forNetworking in English,https://www.edx.org/learn/writing/university-of-washington-using-email-for-networking-in-english,University of Washington,Language,Introductory,Intermediate level of English language proficiency.,English,English,Professional CertificateinEnglish for Business Networking,"Vocabulary, Communications, Writing"
Introduction to BiomedicalImaging,https://www.edx.org/learn/biomedical-engineering/the-university-of-queensland-introduction-to-biomedical-imaging,The University of Queensland,Medicine,Introductory,"High school level in scientific fields such as biology and a desire to learn are highly recommended. For the advanced section of the course, first tertiary year of applied mathematics or computer science specialised in modelling is recommended.",English,English,None,"Neurology, X-Ray Computed Tomography, Cancer"
Introducción a losencofrados y las cimbrasen obra civil y edificación,https://www.edx.org/learn/civil-engineering/universitat-politecnica-de-valencia-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion,Universitat Politècnica de València,Engineering,Introductory,No se requiere ningún prerrequisito previo,Español,Español,None,Civil Engineering
UX Research,https://www.edx.org/learn/user-experience-ux/hec-montreal-ux-research,HEC Montréal,Social Sciences,Intermediate,"None.But if you are engaged in the MicroMasters inUX Design and Evaluation, wevery strongly recommendthat do theIntroduction to UXcourse (UXe01x.1) before doing this one.",English,English,MicroMasters®Program inUX Design and Evaluation,"Research, Web Analytics, UX Research, Data Collection, Curiosity, New Product Development, Empathy, Optometry, User Experience Design (UX), User Information, User Experience"
Introduction to JavaProgramming: Starting tocode in Java,https://www.edx.org/learn/java/universidad-carlos-iii-de-madrid-introduction-to-java-programming-starting-to-code-in-java,Universidad Carlos III de Madrid,Computer Science,Introductory,None,English,None,Professional Certificate inIntroduction to Java Programming,"Java (Programming Language), Computational Thinking, Object-Oriented Programming (OOP), Application Programming Interface (API), Smartphone Operation"
Gestión del estrés yMindfulness,https://www.edx.org/learn/mindfulness/universidades-anahuac-gestion-del-estres-y-mindfulness,Universidades Anáhuac,Health & Safety,Introductory,Ninguno,Español,Español,Professional Certificate inInteligencia emocional y liderazgo,"Stress Management, Hypnosis, Immune Systems, Emotional Intelligence"
None,https://www.edx.org/learn/human-resources/massachusetts-institute-of-technology-shaping-work-of-the-future,None,Business & Management,Introductory,None,English,English,None,None
Human-ComputerInteraction I:Fundamentals & Design P…,https://www.edx.org/learn/human-computer-interaction/the-georgia-institute-of-technology-human-computer-interaction-i-fundamentals-design-principles,The Georgia Institute of Technology,Computer Science,Introductory,None,English,English,Professional CertificateinHuman-Computer Interaction,"Information Visualization, Human Factors Engineering, Augmented Reality, Design Elements And Principles, User Interface Design, Interface Design, Computer Science, User Experience Design (UX), Cognitive Load Theory, Psychology"
Thermodynamics andPhase Equilibria,https://www.edx.org/learn/thermodynamics/stanford-university-thermodynamics-and-phase-equilibria,Stanford University,Science,Introductory,None,English,English,None,Thermodynamics
Bases Matemáticas:Números y terminología,https://www.edx.org/learn/math/universitat-politecnica-de-valencia-bases-matematicas-numeros-y-terminologia,Universitat Politècnica de València,Math,Intermediate,El curso es esencialmente autocontenido. Para su adecuado aprovechamiento es suficiente con que estés familiarizado con la notación matemática elemental.,Español,Español,XSeries inBases matemáticas para estudiar ingeniería,Basic Math
China Humanities: TheIndividual in ChineseCulture,https://www.edx.org/learn/chinese-history/harvard-university-china-humanities-the-individual-in-chinese-culture,Harvard University,Humanities,Introductory,None,English,English,None,None
Linear Algebra I: Vectorsand Linear Equations,https://www.edx.org/learn/linear-algebra/delft-university-of-technology-linear-algebra-i-vectors-and-linear-equations,Delft University of Technology,Math,Intermediate,"Prior knowledge of all the material covered.This is a self-contained bachelor-level course. However, we do assume that you are familiar with standard high school mathematics, specifically standard functions and their properties, algebraic manipulation of equations and inequalities and standard mathematical notation.This course is a review course. As such the course requires you to have studied linear algebra in the past or are at least familiar with its course contents. If this is not the case for you, then you can still do the course, but be prepared for a high pace!",English,English,Professional Certificate inMastering Linear Algebra,"Linear Algebra, Machine Learning, Linear Equations, Quantum Computing, Basic Math"
Risk & Return,https://www.edx.org/learn/business-administration/columbia-university-risk-return,Columbia University,Business & Management,Introductory,Students must be familiar with basic concepts of Accounting; basic skills in Microsoft Excel (or equivalent); Students should have completed Introduction to Corporate Finance and The Free Cash Flow Method for Firm Valuation.,English,English,Professional CertificateinCorporate Finance,"Capital Structures, Equity and Debt, Equities, Expected Return, Cash Flows, Weighted Average Cost Of Capital (WACC), Financial Asset, Cost Of Capital"
Introduction to ComputerScience and Programming,https://www.edx.org/learn/computer-science/tokyo-institute-of-technology-introduction-to-computer-science-and-programming,Tokyo Institute of Technology,Computer Science,Introductory,None,English,English,None,"Writing, Data Science, Artificial Intelligence, Cryptanalysis, DNA Sequencing, Big Data, Algorithms, Computer Simulation, Forecasting, Encryption, English Language, Ruby (Programming Language), Data Mining, Computer Science"
Introduction to Cilium,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-cilium,The Linux Foundation,Computer Science,Introductory,"Learners should have some familiarity with Kubernetes operations and have basic experience using the kubectl tool. The course assumes that students are comfortable with basic Kubernetes concepts such as pods, nodes, services and clusters. To make the most of this course, we highly recommend the free Introduction to Kubernetes (LFS158x) course available on edX, which covers these prerequisites.It is sufficient to have used minikube or kind to deploy a demo microservice application in a development cluster environment.The hands-on exercises require a Kubernetes cluster pre-provisioned without a CNI plugin. The cluster hosts must be using a linux kernel with socket load balancing support (kernel versions v4.19.57, v5.1.16, v5.2.0 or more recent). The learners’ primary system should have the helm, kubectl and curl commands available.All exercises have been tested using local development clusters based on Kind (v0.17.0) and minikube (v1.26.1) as well as Azure’s AKS service. You can find instructions for setting up a kubernetes cluster that meets the requirements in the Cilium.iodocumentation.",English,English,None,None
Digital Design,https://www.edx.org/learn/design/harvey-mudd-college-digital-design,Harvey Mudd College,Engineering,Introductory,"This course assumes you have programmed before, at a level equivalent to a 1-semester course. C programming experience is helpful but Python or another language is sufficient.This course also assumes you are reasonably comfortable with mathematics, but has no specific knowledge requirements beyond second year high school algebra.",English,English,None,"Digital Systems, Experimentation, Computer Architecture, Semiconductors, Digital Design"
Relational Database Basics,https://www.edx.org/learn/relational-databases/ibm-relational-database-basics,IBM,Data Analysis & Statistics,Introductory,None,English,English,"Professional Certificate inData Engineering FundamentalsProfessional Certificate inData EngineeringProfessional Certificate inData Warehouse EngineeringProfessional Certificate inSQL, NoSQL, and Relational Database Fundamentals","Relational Database Management Systems, IBM DB2, MySQL, SQL (Programming Language), Relational Databases, PostgreSQL, Relational Database Design"
Cybersecurity Roles andOperating System Security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-roles-and-operating-system-security,IBM,Computer Science,Introductory,None,English,None,Professional Certificate inIBM Cybersecurity FundamentalsProfessional Certificate inCybersecurity Analyst,"Cyber Security, Computer Security, Operating Systems"
Fundamentos de laguitarra eléctrica yacústica,https://www.edx.org/learn/music-arts/berklee-college-of-music-fundamentos-de-la-guitarra-electrica-y-acustica,Berklee College of Music,Music,Introductory,None,Español,Español,None,"Music Theory, Electric Guitar, Acoustic Guitar, Guitars, Communications"
Global Challenges for aSustainable Society,https://www.edx.org/learn/science/ku-leuven-global-challenges-for-a-sustainable-society,KU Leuven,Science,Introductory,None,English,English,None,None
BioStatistics,https://www.edx.org/learn/biostatistics/doane-university-biostatistics,Doane University,Biology & Life Sciences,Introductory,None,English,English,None,"Academic Integrity, Public Health, Biostatistics, Apache Spark, Biology, Auditing"
Monetary Policy Analysisand Forecasting,https://www.edx.org/learn/finance/the-international-monetary-fund-monetary-policy-analysis-and-forecasting,The International Monetary Fund,Economics & Finance,Advanced,None,English,English,None,"Policy Analysis, Forecasting, Monetary Policies, MATLAB, Capacity Development"
Implant Dentistry,https://www.edx.org/learn/dentistry/university-of-hong-kong-implant-dentistry,University of Hong Kong,Medicine,Introductory,No prerequisites,English,English,None,"Surgical Procedures, Dentistry, Treatment Planning"
Macroeconomics ofClimate Change: GreenPublic Finance,https://www.edx.org/learn/climate-change/the-international-monetary-fund-macroeconomics-of-climate-change-green-public-finance,The International Monetary Fund,Economics & Finance,Intermediate,None,English,English,None,"Investment Management, Public Financial Management, Capacity Development, Protocol Independent Multicast, Macroeconomics, Public Finance"
"Data Structures &Algorithms II: Binary Trees,Heaps, SkipLists and Has…",https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-ii-binary-trees-heaps-skiplists-and-hashmaps,The Georgia Institute of Technology,Computer Science,Intermediate,"Basic knowledge of the Java programming language, object-oriented principles, and the introductory data structures: arrays, linkedlists, stacks, queues, and deques.",English,English,Professional Certificate inData Structures and Algorithms,"Binary Search Trees, Operations, Data Store, Java (Programming Language), Java Object Oriented Querying, Time Complexity, Algorithms, Data Structures"
Sustainable Energy:Design a RenewableFuture,https://www.edx.org/learn/sustainable-energy/delft-university-of-technology-sustainable-energy-design-a-renewable-future,Delft University of Technology,Engineering,Intermediate,"Knowledge of high-school level of physics (mechanics, thermodynamics) and mathematical skills, such as integration and differentiation, are preferred.",English,English,None,"Energy Technology, Renewable Energy, Energy Conservation"
Data Warehousing and BIAnalytics,https://www.edx.org/learn/data-warehouse/ibm-data-warehousing-and-bi-analytics,IBM,Computer Science,Intermediate,Learners should be familiar with SQL,English,English,"Professional CertificateinData EngineeringProfessional CertificateinSQL, ETL and BI FundamentalsProfessional CertificateinData Warehouse Engineering","Data Warehouse Systems, Dashboard, Star Schema, Data Lakes, Business Intelligence, SQL (Programming Language), Materialized View, Snowflake Schema, Relational Databases, Data Warehousing, Business Intelligence Tools"
Japanese Books: FromManuscript to Print,https://www.edx.org/learn/japanese/harvard-university-japanese-books-from-manuscript-to-print,Harvard University,Art & Culture,Introductory,None,English,English,None,"Multimedia, Collections, Visual Storytelling, Storytelling"
Climate Action: Solutionsfor a Changing Planet,https://www.edx.org/learn/climate-change/sdg-academy-climate-action-solutions-for-a-changing-planet,SDG Academy,Environmental Studies,Intermediate,None.,English,English,None,"Sustainable Development, Systems Analysis, Corporate Sustainability, Negotiation"
Rise to Leadership:Become a CEO,https://www.edx.org/learn/leadership/babson-college-rise-to-leadership-become-a-ceo,Babson College,Business & Management,Intermediate,None,English,English,Professional Certificate inExecutive Leadership,"Consulting, People Management, Value Creation, Communications, Revenue Growth, Leadership, Advising"
Negociación exitosa:Estrategias y habilidadesesenciales (en español),https://www.edx.org/learn/negotiations/the-university-of-michigan-negociacion-exitosa-estrategias-y-habilidades-esenciales-en-espanol,The University of Michigan,Business & Management,Introductory,None,Español,Español,None,"Negotiation Strategies, Planning, Planning Tools, Spanish Language, Negotiation, Mobile Application Development"
Sustainable UrbanDevelopment,https://www.edx.org/learn/sustainable-development/delft-university-of-technology-sustainable-urban-development,Delft University of TechnologyWageningen University & Research,Architecture,Introductory,There are no prerequisites for this course.,English,English,None,"Social Sciences, Municipal Or Urban Engineering, Urban Design, Urban Planning, Sustainability, Urbanization, Living Conditions, Integration"
Business Communication,https://www.edx.org/learn/business-communications/rochester-institute-of-technology-business-communication-3,Rochester Institute of Technology,Communication,Introductory,None,English,English,Professional Certificate inLeadership Essentials,"Leadership, Business Writing, Business Communication, Non-Verbal Communication, Target Audience, Active Listening, Communications"
Computer Architecturewith an Industrial RISC-VCore [RVfpga],https://www.edx.org/learn/computer-programming/the-linux-foundation-computer-architecture-with-an-industrial-risc-v-core,The Linux Foundation,Computer Science,Intermediate,"Learners should have a fundamental understanding of the following topics: digital logic design, high-level programming (such as C programming), assembly programming, RISC-V instruction set architecture, processor microarchitecture, and memory and input/output systems.The software and optional hardware is supported in Linux, and most of it is also supported in Windows and macOS. A Ubuntu 22.04 Virtual Machine is also provided with everything installed on it, so that you can easily use all tools in a Linux environment (independently of the OS that you use in your computer) out-of-the-box. The course may be completed in simulation, so the hardware (the Nexys A7 FPGA board) is optional.",English,English,None,None
Data Science Tools,https://www.edx.org/learn/data-science/ibm-data-science-tools,IBM,Data Analysis & Statistics,Introductory,None,English,None,Professional CertificateinData Science FoundationsProfessional CertificateinIBM Data Science,"Jupyter, Data Science, RStudio, Watson Studio, Jupyter Notebook, Markdown, Python (Programming Language)"
Industrial Biotechnology,https://www.edx.org/learn/biotechnology/delft-university-of-technology-industrial-biotechnology,Delft University of Technology,Engineering,Intermediate,High school understanding of MathematicsFirst year undergraduate level of (bio)Chemistry and Biology,English,English,Professional Certificate inIndustrial Biotechnology and Industrial Fermentation,"Sustainability, Industrial Processes, Biotechnology, Fermentation"
Introduction to FinOps,https://www.edx.org/learn/devops/the-linux-foundation-introduction-to-finops,The Linux Foundation,Computer Science,Introductory,Have a basic level of working knowledge about at least one of the major cloud providersUnderstand basic terminology of the cloudHave a basic level of understanding of IT finance terminology.,English,English,None,"Cash Flow Management, Cost Management, Customer Demand Planning, Purchasing, DevOps, Accountability, Accounting, Procurement, Finance, Financial Management, Cloud Financial Management (FinOps)"
Arduino para niños ¡vamosal espacio!,https://www.edx.org/learn/electronics/pontificia-universidad-javeriana-arduino-para-ninos-vamos-al-espacio,Pontificia Universidad Javeriana,Electronics,Introductory,"Saber leer y escribir. (7 a 9 años)Conocer y realizar las cuatro operaciones matemáticas básicas (suma, resta, multiplicación y división)",Español,Español,None,"Electronics, Creativity, Self-Control, Communications, Problem Solving, Presentations"
Dentistry & Human Life,https://www.edx.org/learn/dentistry/seoul-national-university-dentistry-human-life,Seoul National University,Biology & Life Sciences,Introductory,None,English,English,None,"Dentistry, Dental Health, Orthognathic Surgery, Orthodontics"
Grabar y mezclar música,https://www.edx.org/learn/music-business/berklee-college-of-music-grabar-y-mezclar-musica,Berklee College of Music,Music,Introductory,None,Español,Español,XSeries inGrabación y producción musical,"Record Producer, Production Planning, Music Production, Studio Recording"
Linux Tools for SoftwareDevelopment,https://www.edx.org/learn/linux/the-linux-foundation-linux-tools-for-software-development,The Linux Foundation,Computer Science,Introductory,"To make the most of this course, you will need to have:Experience as a developer on any operating system.Experience in working at the command line is not necessary, but would be helpful.Lab exercises in this course are designed to work either on native hardware, or using a virtual machine (VM), under a hypervisor, such as those in the KVM, VMWare, or Virtual Box families.",English,English,"Professional Certificate inOpen Source Software Development, Linux and Git","Software Development, Bash (Scripting Language), Operating Systems, Linux, File Systems, Command-Line Interface, Open Source Development, Compilers"
College Algebra,https://www.edx.org/learn/algebra/doane-university-college-algebra,Doane University,Math,Intermediate,None,English,English,None,"Auditing, Linear Systems, Problem Solving, Algebra"
Managing Conflicts onProjects with Cultural andEmotional Intelligence,https://www.edx.org/learn/conflict-resolution/the-university-of-maryland-college-park-managing-conflicts-on-projects-with-cultural-and-emotional-intelligence,"The University of Maryland, CollegePark…",Business & Management,Introductory,None,English,None,Professional Certificate inProgram Management and the Art of Communication,"Intercultural Competence, Influencing Skills, Conflict Resolution, Conflict Management, Logo Design, Non-Verbal Communication, Capability Maturity Model, Emotional Intelligence, Storyboarding, Communications, Persuasive Communication, Problem Solving, Program Management"
Unlocking Investment andFinance in EmergingMarkets and Developing…,https://www.edx.org/learn/finance/world-bank-group-unlocking-investment-and-finance-in-emerging-markets-and-developing-economies-emdes,World Bank Group,Economics & Finance,Introductory,None,English,English,None,"Investments, Sustainable Development, Institutional Investing, Finance"
Fisiología del ejerciciopara todos,https://www.edx.org/learn/physiology/universidad-del-rosario-fisiologia-del-ejercicio-para-todos,Universidad del Rosario,Medicine,Introductory,None,Español,Español,None,None
Programming 101: AnIntroduction to Python forEducators,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-programming-101-an-introduction-to-python-for-educators,Raspberry Pi Foundation,Education & Teacher Training,Introductory,None,English,English,None,None
Edición de vídeo ypostproducción conDaVinci Resolve. Básico,https://www.edx.org/learn/business-communications/universidad-carlos-iii-de-madrid-edicion-de-video-y-postproduccion-con-davinci-resolve,Universidad Carlos III de Madrid,Communication,Introductory,None,Español,Español,Professional Certificate inEdición de vídeo y postproducción con DaVinci Resolve,"Audio Editing Software, Post-Production, Audio Editing, Written Composition, Animations, DaVinci Resolve (Video Editing Software), Creativity, Color Correction, Computing Platforms, Audio Mixing, Tutorials, Visual Effects, Video Editing, Sound Effects"
A-level FurtherMathematics for Year 12 -Course 1: Complex Numb…,https://www.edx.org/learn/math/imperial-college-london-a-level-further-mathematics-for-year-12-course-1-complex-numbers-matrices-roots-of-polynomial-equations-and-vectors,Imperial College London,Math,Intermediate,N/A,English,English,None,"Basic Math, Language Construct"
International HumanitarianLaw,https://www.edx.org/learn/international-law/universite-catholique-de-louvain-international-humanitarian-law,Université catholique de Louvain,Law,Advanced,"Knowledge of the fundamentals of International Law (subjects and sources of International Law/principles governing international responsibility). Such knowledge may be acquired by the successful completion ofInternational law.In addition, students should be familiar with the requirements of graduate-level courses and should preferably have already followed some law courses in order to be familiar with legal concepts and legal language.",English,English,MicroMasters®PrograminInternational Law,"International Laws, Counter-Terrorism"
Facebook Ads: Cómoutilizar el poder de lapublicidad en Facebook,https://www.edx.org/learn/marketing/universidad-galileo-facebook-ads-como-utilizar-el-poder-de-la-publicidad-en-facebook,Universidad Galileo,Communication,Introductory,Requisitos previos:Conocimientos básicos de Facebook,Español,Español,Professional CertificateinMarketing DigitalProfessional CertificateinMarketing Digital: Google Adwords y Facebook Ads,"Persona (User Experience), Digital Marketing, Facebook Ads, Marketing, Demand Generation, Digital Media Strategy, Advertising Campaigns, Bidding, A/B Testing, Community Management, Digital Skills"
Dinosaurios de laPatagonia,https://www.edx.org/learn/dinosaurs/universidad-nacional-de-cordoba-dinosaurios-de-la-patagonia,Universidad Nacional de Córdoba,Science,Introductory,Ninguno,Español,None,None,"Paleontology, Research, Natural Sciences"
ODS en la Agenda 2030 delas Naciones Unidas: Retosde los Objetivos de Desar…,https://www.edx.org/learn/sustainable-development/universitat-politecnica-de-valencia-ods-en-la-agenda-2030-de-las-naciones-unidas-retos-de-los-objetivos-de-desarrollo-sostenible,Universitat Politècnica de València,Social Sciences,Introductory,"No se necesitan conocimientos previos. Es curso introductorio, por lo que cualquier persona interesada en el desarrollo sostenible o en la cooperación al desarrollo puede cursarlo.",Español,None,None,"Sustainability, Sustainable Development, Cooperation, Operational Data Store"
Introduction to Serverlesson Kubernetes,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-serverless-on-kubernetes,The Linux Foundation,Computer Science,Introductory,Basic knowledge of CLI tools and Linux administrationSome experience with Python programming languageBasic understanding of containers and Docker,English,English,Professional Certificate inIntroduction to DevOps: Practices and Tools,"Serverless Computing, AWS Lambda, Autoscaling, Python (Programming Language), Dashboard, Kubernetes, Authentications"
