,title,level,language,crediteligibility,link
2884,Complete Python & Python OOP with Exercises& Projects in2024,Beginner,English,Yes,https://www.skillshare.com/en/classes/Facebook-Ads-for-Beginners-Grow-Your-Audience/1328215801
13246,Print on Demand Niche Research Masterclass,Beginner,English,Yes,https://www.skillshare.com/en/classes/Zentangle%C2%AE-Inspired-Art-in-Procreate/2122712844
23481,Ultimate Photoshop Training: From Beginner to Pro 2024 + AI,All Levels,English,Yes,https://www.skillshare.com/en/classes/Data-Visualization-Design-Better-Charts-in-PowerPoint/75621617
664,"Data Structures & Algorithms, Level-up for Coding Interviews",Intermediate,German,Yes,https://www.skillshare.com/en/classes/NEW-CONFIDENCE-Boost-Your-Self-Confidence-Self-Esteem-Social-Skills-Confidence/20674844
16886,DCF Valuation & Financial Modeling - Company Analysis TESLA,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/How-to-Draw-Comic-Style-Noses-Male-and-Female/1301384446
10721,"Live Hard: From Smart Risks to Innovation, to Success",All Levels,Chinese,No,https://www.skillshare.com/en/classes/Learn-How-to-Draw-Birds-and-add-them-in-Your-Paintings-A-15-Day-Exercise-to-Level-Up-Your%C2%A0Artworks/1456367833
6455,Project Implementation on Salesforce Einstein Analytics,Expert,Spanish,No,https://www.skillshare.com/en/classes/Digital-Illustration-for-Beginners-in-Procreate/601850566
24246,Account Based Marketing (ABM) 2023 - B2B Marketing Strategy,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Learn-Basic-and-Easy-Camera-Movements-for-Cinematic-Videos-Beginners-B-Roll-Guide/1306075878
4282,Introduction to Python 3,Beginner,English,Yes,https://www.skillshare.com/en/classes/Personal-Branding-For-Designers-Beginners/876051981
5508,A Beginner's Guide To Lern Web Development From Scratch,Beginner,German,No,https://www.skillshare.com/en/classes/Shoot-Talking-Head-Video-like-a-PRO-Interviews-Youtube-Online-Courses-more/1253212562
4900,Build a Forensic Virtual Machine,Expert,French,No,https://www.skillshare.com/en/classes/Shoot-High-Quality-Video-with-an-iPhone-for-Your-Brand-or-Business/1097791042
26025,IELTS Vocabulary: Learn 400 Essential Words for IELTS,Intermediate,German,No,https://www.skillshare.com/en/classes/Animate-with-Procreate-Design-and-Animate-Your-TikTok-Persona/1793686045
3296,Hilt Dependency Injection in Android with Kotlin 2023,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Procreate-Solid-Foundations-Part-1-Your-First-Painting/214104761
10261,IELTS 9: Speaking Mastery,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Urban-Sketching-How-to-draw-people/1709005792
21686,Microsoft Excel: Step By Step Excel For Complete Beginners,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/How-to-Price-Your-Design-Jobs-And-Get-Paid-On-Time/459505085
23702,Sketching for Fashion Design ~ Beginner Course for Designers,Beginner,German,Yes,https://www.skillshare.com/en/classes/Intro-to-Van-Life-Step-by-Step-Guide-to-Get-You-on-the-Road/444709669
22300,Google Workspace (Formerly G-Suite) Fundamentals Training,Expert,German,No,https://www.skillshare.com/en/classes/How-To-Practice-Mindfulness-Meditation/2035455635
15948,Financial Education For Teenagers,All Levels,German,No,https://www.skillshare.com/en/classes/Watercolor-Summer-Window-Easy-and-Fun-Watercolor-Project/1295810708
7639,NEW:Angular Material: The full guide using a Spring boot API,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Logo-Design-Illustrative-Retro-Badges/1932781849
22682,"Microsoft Excel: Data Visualization, Excel Charts & Graphs",Expert,English,No,https://www.skillshare.com/en/classes/IELTS-Speaking-MASTERCLASS-Get-Band-7/77181000
19995,ABCs of ChatGPT: The Ultimate ChatGPT Course for Beginner,Expert,French,Yes,https://www.skillshare.com/en/classes/The-Complete-React-Bootcamp-2023-Updated/895676015
2208,SAP ABAP Debugging - From Basic To Advanced Concepts,Expert,French,Yes,https://www.skillshare.com/en/classes/How-To-Solve-A-3x3-Rubiks-Cube-For-Beginners-Complete-a-Rubiks-Cube-From-Start-To-Finish/1142795910
563,Modern Web Scraping with Python using Scrapy Splash Selenium,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Good-Lighting-For-Film-Video-at-Any-Budget/581277768
21574,Quantity Surveying/Bar-bending Schedule (B.B.S) Course,Expert,English,Yes,https://www.skillshare.com/en/classes/Watercolor-Basics-Supplies-Techniques/1869594474
4416,Learn to make 2D Platformer game for PC/Android/IOS,Intermediate,English,No,https://www.skillshare.com/en/classes/Watercolor-Essentials-for-Painting-Realistic-Skies-Basic-Techniques-5-Projects/1747196306
17672,HOW TO GO FROM LOSING TO CONSISTENT PROFIT IN FOREX TRADING,Expert,French,No,https://www.skillshare.com/en/classes/Spring-Illustrations-in-Procreate-Part-1/1328589196
14800,Creating a Robust Financial Plan for Your Business,Expert,Spanish,No,https://www.skillshare.com/en/classes/An-Intro-to-iPad-Art-Part-2-Adobe-Fresco/2113773284
14273,"Financial Ratio Analysis, Modelling and Technical Analysis.",Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Social-Media-Marketing-for-Creatives-Freelancers-and-Online-Business-Owners/1641704624
18358,The Complete Salesforce Certified Administrator Course + AI,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Draw-Your-Notes-Intro-to-Visual-Note-Taking/2086140286
19242,The World of Computer Networking. Your CCNA starts here,Intermediate,English,No,https://www.skillshare.com/en/classes/3-Minute-Spanish-Course-4-Language-lessons-for-beginners/1299341656
12461,Complete Guide to Drafting a Business Plan (with templates),All Levels,English,Yes,https://www.skillshare.com/en/classes/Create-Repeat-Patterns-in-Photoshop-With-A-Maximum-Control-and-Minimum-of-Maths/1877298974
22021,Learn Power Bi - Analyze & Visualize Data with Power Bi - P1,Expert,German,No,https://www.skillshare.com/en/classes/Introduction-to-Procreate-for-Digital-Painting/1873796198
20133,Getting Started with Azure Virtual Machines,Beginner,German,No,https://www.skillshare.com/en/classes/Introduction-to-the-Voice-Over-industry-from-a-voice-America-recognizes/1772554619
1873,Computer Vision Masterclass,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/How-to-Draw-on-Location-An-Urban-Sketching-Course/1537286959
23573,Cinema 4D Masterclass: The Ultimate Guide for Beginners,All Levels,English,No,https://www.skillshare.com/en/classes/Drawing-for-Beginners-Learn-How-to-Draw-Anything/1382946907
3595,Learn Bash Shell in Linux for Beginners,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Painting-Loose-In-Watercolors/1407450913
12491,How to Write a Strategic Plan,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Ink-and-Watercolor-Greeting-Cards-on-Your-iPad-in-Procreate-FREE-Templates-and-Brushes/780340623
20715,"CCSP Domain 1 - Cloud Concepts, Architecture and Design",All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Create-Fun-Patterns-Easily-for-Sketching-Doodling-and-Lettering/1370376278
8048,cPanel Crash Course,All Levels,English,No,https://www.skillshare.com/en/classes/How-to-Draw-Cute-Cartoon-Caricature/1966837594
9383,Cloud Migration on AWS and Microsoft Azure,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Instagram-Reels-for-Beginners-Learn-to-Make-Fun-Art-Reveal-Videos/1707962335
14351,MetaTrader 5 automated trading using Python TUTORIAL,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Doodle-Simple-Human-Figures/581388804
18838,The Ultimate DevOps Bootcamp - 2023,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Complete-Linux-Training-Course-to-Get-Your-Dream-IT-Job/626081699
11812,The Ultimate Microsoft Project 2013 & 2016 Mastery Course,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Botanical-Illustrations-in-Procreate/2140210473
18413,CompTIA CySA+ (CS0-002) Complete Course & Practice Exam,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Illustration-Business-A-Primer-on-Portfolios-Pricing-Your-Art/2010823767
10368,HR as a Strategic Business Partner,Expert,Chinese,No,https://www.skillshare.com/en/classes/Time-Blend-Photo-Editing-A-Method-to-Blend-Multiple-Exposures/1779668813
326,Unreal Engine 4 Mastery: Create Multiplayer Games with C++,All Levels,German,Yes,https://www.skillshare.com/en/classes/Find-Your-Style-Master-Botanical-Drawing-With-Ink-Pens/439895784
18356,Ansible for the Absolute Beginner - Hands-On - DevOps,Beginner,Chinese,No,https://www.skillshare.com/en/classes/What-Services-Should-You-Offer/704892587
22152,Microsoft Excel - from Beginner to Advanced & VBA by IITian,All Levels,French,Yes,https://www.skillshare.com/en/classes/Give-a-Great-Foot-Massage/461188261
11869,Product Management for Absolute Beginners,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Palette-Knife-Acrylic-Painting-Make-your-Portrait-Step-by-Step/960865641
16090,Option Trading - How To Earn If You Can't Predict The Market,All Levels,English,No,https://www.skillshare.com/en/classes/You-Can-Sketch-People-Create-Expressive-Art-in-20-min-or-Less/152350550
349,SwiftUI + SwiftData Masterclass - iOS App Development Swift,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Charcoal-Drawing-Boot-Camp-Tools-Techniques-Tips-for-Beginners/725587105
1687,"iOS 12 & Swift 5 - App Design, UI/UX plus Development",Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Ultimate-Texturing-Techniques-for-Illustrator/1688839195
24473,Product Marketing for Technology Companies,Expert,French,Yes,https://www.skillshare.com/en/classes/10-Types-of-Watercolor-Mushrooms-Lets-demystify-and-explore-the-world-of-mushrooms/235862613
5561,Create Virtual Reality Apps using React VR & React 360,Expert,French,No,https://www.skillshare.com/en/classes/Easy-Guide-to-Podcasting-Without-a-Big-Investment/930478746
16272,The MBA Hedge Funds Fundamentals Course,All Levels,German,No,https://www.skillshare.com/en/classes/Calligraphy-for-Beginners-2-%E2%80%93-The-Elegance-of-Italics/816001218
10631,Tableau Data Analyst & Specialist Certifications /w Datasets,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Lets-Color-a-Goblin-Complete-Digital-Coloring-Process-Walkthrough/1156630908
13787,Use the Magic Multiple Moving Average Forex Trading system,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Flower-Painting-Pattern-Abstract-Art-Japanese-Inspiration/175890142
688,Learn Python - Python Programming For Beginners From Scratch,Expert,English,No,https://www.skillshare.com/en/classes/Drawing-The-Human-Head-Beginner-Course-For-Developing-Proportions-General-Accuracy/582870867
26091,"English grammar tenses & structures, the ultimate course",Intermediate,French,No,https://www.skillshare.com/en/classes/Excel-MACROS-VBA-French-version/263164671
23641,Learn 3D Animation - The Ultimate Blender Guide,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Developing-an-Eye-for-Landscape-Composition-Part-1-of-3/1644235186
8886,JavaScript Masterclass for Beginner to Expert: Bootcamp,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Flourished-Calligraphy-Layouts-in-Procreate/1186813907
8840,C++ Multi-Threading And Thread Safety,Beginner,Chinese,No,https://www.skillshare.com/en/classes/How-to-Create-Engaging-Social-Media-Marketing-Content/1593524084
11355,Excel Data Analysis: From Zero to Excel Data Hero,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Live-Encore-Create-Your-First-3D-Illustration-in-Blender/82938252
23339,Success: How To Be Successful in Every Area of your Life,Expert,French,No,https://www.skillshare.com/en/classes/Shopify-E-Commerce-Websites-for-Beginners-Freelancers/348905239
17441,Engineering Economics Analysis (Part 2 of 2),All Levels,French,Yes,https://www.skillshare.com/en/classes/Watercolor-and-the-wedge-brush/59478630
8781,Creating the game cinematic using Unreal and Adobe Premiere,All Levels,German,No,https://www.skillshare.com/en/classes/Phone-Photography-Edit-Your-Photos-With-Adobe-Lightroom-Mobile/962211674
17835,Two Forex Scalping Strategies with 2 Indicators Confirmation,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Abstract-Art-Intro-to-Fluid-Painting-with-Resin/697138842
4178,Java Sorting Algorithms for Newbs,Intermediate,French,No,https://www.skillshare.com/en/classes/Storytelling-Formula-The-Four-Stories-That-Matter-The-Most/63387450
21957,Excel 2013 PowerPivot & Advanced Business Intelligence Tools,Expert,Spanish,No,https://www.skillshare.com/en/classes/Microsoft-Power-BI-%E2%80%93-The-Beginners-Guide-to-Building-Great-Dashboards-Lesson-1/1592305633
21694,Fundamentals of Microsoft PowerApps,Expert,German,Yes,https://www.skillshare.com/en/classes/Repeat-Patterns-in-Photoshop-Incorporating-Sketches-into-Digital-Design/1907845627
18441,Active Directory & Group Policy Lab,Intermediate,German,No,https://www.skillshare.com/en/classes/Mixing-in-Ableton-Live-A-Creative-Approach/681237949
12099,ChatGPT: Make Money with ChatGPT as a New Freelancer,Beginner,French,Yes,https://www.skillshare.com/en/classes/Create-Contrast-With-Watercolor-And-Procreate/209947543
24875,Become a Tarot Mystic: Learn the cards and share your wisdom,Beginner,English,Yes,https://www.skillshare.com/en/classes/3-Minute-Italian-Course-4-Language-lessons-for-beginners/742382862
11506,"OKR Goal Setting A-Z: How To Set, Track & Achieve Goals 2023",Intermediate,French,Yes,https://www.skillshare.com/en/classes/Aqua-Let-us-Master-Water-Ocean-Waves-and-Seascapes-with-Watercolours-in-30-Days/2076530032
6802,The Ultimate Beginners Guide to Fuzzy Logic in Python,Beginner,French,No,https://www.skillshare.com/en/classes/Watercolor-Cherry-Blossoms-for-Beginners/1782410089
2766,NestJs in Practice (with MongoDB),Expert,Chinese,No,https://www.skillshare.com/en/classes/Vue-js-2-Academy-Learn-Vue-Step-by-Step/976397920
19454,Mastering Adobe Acrobat Pro DC Made Easy Training Tutorial,Expert,Chinese,No,https://www.skillshare.com/en/classes/Davinci-Resolve-15-FAIRLIGHT-Sound-post-production/1435308155
18182,Banknifty Option Trading Intraday Mastery Course,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Digital-Illustration-Modern-Portraits-in-Procreate/231724528
1527,Learn To Create WordPress Themes By Building 10 Projects,Expert,English,No,https://www.skillshare.com/en/classes/Graphic-Recording-101-Learn-to-Draw-Live-Visual-Notes/704812098
6027,Create your own Cryptocurrency & ICO Page with Solidity,Intermediate,English,No,https://www.skillshare.com/en/classes/Storytelling-in-the-Edit-5-Essential-Principles/1392618654
13433,Start a Business and Travel the World in 30 Days!,Expert,Chinese,No,https://www.skillshare.com/en/classes/Hamsa-Hand-Watercolor-Workshop/116590270
12691,Engineering and Maintenance Management in a Lean Environment,Intermediate,French,No,https://www.skillshare.com/en/classes/Seamless-Repeat-Pattern-in-Procreate-no-other-tool-needed-at-all/88471185
16945,Basic Accounting Secrets,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Getting-Started-with-Gouache-Learn-the-Basics-Build-Confidence/1826346111
26127,Technical English for Beginners,Beginner,German,Yes,https://www.skillshare.com/en/classes/Easy-Half-Drop-Patterns-In-Procreate-The-Diamond-Method/1763823981
5163,CodeIgniter Course: The Complete Guide (Step by Step),Expert,German,Yes,https://www.skillshare.com/en/classes/Adobe-Illustrator-Vector-Illustration-fundamental/1477968395
16507,Principles of Microeconomics,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Digital-Painting-3-Big-Questions-Every-Painter-Must-Answer/1875569111
23667,Learn 3D Animation - The Ultimate NEW BLENDER 2.8 Course A-Z,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/After-Effects-CC-For-Beginners-How-To-Use-Adobe-After-Effects-CC-Intro-to-Intermediate/448212355
25333,Learn Lightroom and Photoshop CC: Improve Food Photography,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Modern-JavaScript-For-Beginners-Part-1/618955486
22961,How to Overcome Imposter Syndrome and Self-Doubt,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Video-Editing-in-DaVinci-Resolve-18-Beginner-to-Intermediate/1983825609
6826,Learning Path: VMware vSphere Unlocked,Beginner,French,Yes,https://www.skillshare.com/en/classes/Mobile-Product-Photography-for-a-Higher-Revenue-A-Guide-for-Creative-Entrepreneurs/1337633434
22247,Microsoft Power BI Advanced Dashboard Full Practical Course,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Learn-To-Draw-5-Fun-Exercises-To-Develop-Line-Drawing-Confidence/875714198
3200,"JavaScript Infrastructure: CLI, NPM, Babel and Webpack",Beginner,Spanish,No,https://www.skillshare.com/en/classes/PORTRAIT-DRAWING-1-Sketching-the-draft-with-a-pencil/2005970653
20917,CompTIA Security Plus SY0-601 Master Course & Practice Exam,All Levels,English,No,https://www.skillshare.com/en/classes/Object-Oriented-Programming-In-PHP-The-Right-Way/483034335
3064,The Complete Java Developer Course -Mastering Java from zero,All Levels,French,No,https://www.skillshare.com/en/classes/How-to-Easily-Animate-Logos-in-After-Effects/308589372
25607,Aromatherapy For Massage Therapists Certificate Course,All Levels,English,Yes,https://www.skillshare.com/en/classes/Become-An-Instagram-Topical-Authority-Grow-Your-Followers-Faster/1256913252
13555,Cryptocurrency Investment Course 2023: Fund your Retirement!,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Watercolor-Florals-Orchids/779606638
6667,Starting with Apache Wicket (version 9.x+),All Levels,French,Yes,https://www.skillshare.com/en/classes/Pattern-Making-for-Beginners-Fashion/2122446029
23543,Information Architecture (IA) Fundamentals,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Procreate-Animation-Create-a-Cute-Animation-in-Procreate-5/1143418166
5393,Google Apps Script Build 28+ Fun Projects Sites G Suite,All Levels,French,No,https://www.skillshare.com/en/classes/Hand-Lettering-Practice-3-Easy-Steps-to-Explore-New-Typography-Styles/729221157
7937,Get Friendly With A.I. Basics,Beginner,German,No,https://www.skillshare.com/en/classes/Floral-Resin-Jewelry-Basics/1289690567
20431,Learning Apache Maven,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Accounting-Bookkeeping-Basics-in-90-Mins-A-Quick-Intro/1407487237
24170,The Podcast Masterclass: The Complete Guide to Podcasting,Expert,Spanish,No,https://www.skillshare.com/en/classes/Perspective-Drawing-for-Beginners-See-Understand-Draw/210180899
25992,Counselling Skills Certificate Course (Beginner to Advanced),Expert,Chinese,No,https://www.skillshare.com/en/classes/2023-Lean-Six-Sigma-GreenBelt-Control-Phase-Statistical-Process-Control-SPC-Control-charts/1850090269
19919,ARM Assembly Language From Ground Up™ 1,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Paper-Cuts-Create-an-Original-Cut-Paper-Illustration/1580911171
7665,Beginners Guide to Real Life Applications of Blockchain,Expert,English,Yes,https://www.skillshare.com/en/classes/Beginners-Guide-to-Microsoft-Excel-Data-Entry/1466933048
7451,Writing Functional Design Document(Real Time Project Based),Expert,English,No,https://www.skillshare.com/en/classes/Watercolor-Galaxies-Comprehensive-Guide-For-Smooth-Vibrant-Backgrounds/1724876109
15643,Media Training for Financial Service Professionals,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/The-Personal-Branding-Process-for-Creative-Freelancers/1837378792
8615,React Hooks Tips Only the Pros Know,Intermediate,German,No,https://www.skillshare.com/en/classes/painting-watercolor-clouds/233257590
21985,Microsoft Project 2016 Advanced Training Master Class,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Lifestyle-Design-A-5-Step-Method-to-Design-Your-Ideal-Lifestyle/668692369
21590,Microsoft Excel Logic Theory and If Functions (Intermediate),Intermediate,French,No,https://www.skillshare.com/en/classes/Paint-with-Me-Create-a-Mixed-Media-Pastry-Illustration/649632732
1433,Design Patterns for Game Programming,Beginner,German,No,https://www.skillshare.com/en/classes/Masterclass-1-Introduction-to-Realistic-Drawing-and-Shading-Human-Features/1887259756
15793,Cryptocurrency Investing with Python | Earn Passive Income !,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/3D-Printing-A-Complete-Course-with-Austen-Hartley/1184960670
6400,Learn Creative Coding with Vanilla JavaScript,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Understanding-Masks-in-Adobe-Photoshop-for-Awesome-Effects/590785952
11753,How to launch a digital lifestyle business,Expert,German,Yes,https://www.skillshare.com/en/classes/Design-an-Adult-Coloring-Book-Page-on-Your-iPad-in-Procreate-FREE-Coloring-Pages-Practice-Sheets/788458862
23315,SUCCESS: 9 Steps to Elite Performance,Expert,English,Yes,https://www.skillshare.com/en/classes/Build-Your-CEO-Morning-Routine-Goal-Setting-Thinking-Ideas-Deep-Work/881886389
4226,Become A Mobile App Developer (iOS / Android / Windows),Beginner,French,Yes,https://www.skillshare.com/en/classes/Film-Production-How-to-Organize-a-Shoot/183058620
19075,Web Security & Bug Bounty: Learn Penetration Testing in 2023,Intermediate,French,No,https://www.skillshare.com/en/classes/How-to-find-your-natural-Voice/831532147
3820,Create Interactive Dashboards in Python by Plotly Dash,Intermediate,English,Yes,https://www.skillshare.com/en/classes/How-to-Create-an-Engaging-Food-Blog-Post/1987611673
16414,QuickBooks Desktop Multiple Currencies,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Alcohol-Markers-A-Complete-Beginners-Guide-Exploring-Ohuhu-Markers/2108734221
15283,Banknifty Option Buying: Trading In FBT Zones[No Indicators],Expert,Chinese,No,https://www.skillshare.com/en/classes/Loose-Watercolor-Florals-Learn-to-Paint-Easy-Flower-Compositions-and-Bouquets/584646239
20242,Build 7 Real-Time Salesforce(LWC) Projects,Intermediate,English,No,https://www.skillshare.com/en/classes/AD-1-Affinity-Designer-Easy-Retro-Flowers-for-Beginners-Learn-the-Basics-the-Fun-and-Easy-Way/1465928499
8394,Developing Single Page Applications,Intermediate,English,No,https://www.skillshare.com/en/classes/Create-Realistic-Mockups-to-Showcase-Promote-your-Designs/1292844292
7112,"Go Full Stack: Java, Spring Boot, Angular & Typescript",Intermediate,German,Yes,https://www.skillshare.com/en/classes/Fundamentals-of-DSLR-Photography/1111783378
18212,Learn Financial Modeling from Scratch - Part 3,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Video-Editing-with-Adobe-Premiere-Pro-for-Beginners/800216478
23314,Complete Goal Achievement Course - Personal Success Goals,Expert,Chinese,No,https://www.skillshare.com/en/classes/Productivity-Masterclass-Principles-and-Tools-to-Boost-Your-Productivity/647318269
23913,Mantaflow Fluid Simulation Guide in Blender,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Adobe-Photoshop-CC-%E2%80%93-Essentials-Training-Course/1810443793
11917,Recruitment Tools for Difficult Times,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Mastering-Productivity-Create-a-Custom-System-that-Works/442860604
7908,Learn MVVM with .NET MAUI,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/iPhone-Photography-How-to-Take-Pro-Photos-On-Your-iPhone/1564055279
7223,Css For Beginners,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Graphic-Design-Basics-Core-Principles-for-Visual-Design/1539782161
17282,Harmonic pattern trading,Expert,German,No,https://www.skillshare.com/en/classes/Digital-Illustration-Learn-to-Use-Procreate/971736290
12299,Entrepreneurship Empire: Entrepreneur's Wealth Creation!,Beginner,English,Yes,https://www.skillshare.com/en/classes/Intro-to-Procreate-Illustrating-on-the-iPad-UPDATED-for-2023/612500335
20983,Data Structures and Algorithms in C for Beginners,All Levels,French,No,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Essentials-Training/1986526776
742,Complete PYTHON Programming for Beginners - 2023,Intermediate,English,No,https://www.skillshare.com/en/classes/Logo-Design-with-Draplin-Secrets-of-Shape-Type-and-Color/1389209398
16651,The professional cryptocurrency trading program,Beginner,English,Yes,https://www.skillshare.com/en/classes/Procreate-for-Beginners-Learn-the-Basics-Sell-Your-Artwork/1501439636
3995,Complete Flutter development - build 14 ios and android apps,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Real-Productivity-How-to-Build-Habits-That-Last/1744818959
19400,Cisco Certified Technician R&S RSTECH (100-490) Training,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Customizing-Type-with-Draplin-Creating-Wordmarks-That-Work/1395825904
22565,Oracle DBA (Database Administration) Certification Training,All Levels,English,No,https://www.skillshare.com/en/classes/Intro-to-Surface-Pattern-Design-Learn-Adobe-Illustrator/1614197409
13651,Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Inky-Doodle-Notebook/1172471554
22468,SAP HANA,Expert,German,No,https://www.skillshare.com/en/classes/Create-Product-Animations-In-Blender/80097829
4343,Computer Vision in Python for Beginners (Theory & Projects),Expert,French,No,https://www.skillshare.com/en/classes/How-to-Vlog-Make-Engaging-Vlogs-People-Will-Actually-Watch/342497960
21593,SAP GRC Training,Expert,French,No,https://www.skillshare.com/en/classes/Watercolor-Without-Fear-Painting-for-Pattern-Design/186369192
2710,Spring 6 & Spring Boot 3 for Beginners (Includes 5 Projects),Beginner,German,Yes,https://www.skillshare.com/en/classes/Creating-a-Simple-Animation-in-Cinema-4D-Using-Dynamics/815120159
21945,R12i Oracle E Business Suite Fundamentals,Expert,German,Yes,https://www.skillshare.com/en/classes/How-to-use-Color-in-Interior-Design-Color-Psychology-Theory-Interior-Design-Essentials/868658327
22653,The Excel Masterclass- The Complete Microsoft Excel Course,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Color-Grading-Work-in-the-Film-Industry-with-DaVinci-Resolve/100257506
21264,Complete Introduction to Excel Pivot Tables [2023 Edition],Intermediate,Chinese,No,https://www.skillshare.com/en/classes/How-to-Make-a-Comic-Book-A-4-Page-Mini-Comic/1531162648
1393,Learn C# With Windows Forms and  SQL Server,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Hand-Drawn-Animation-The-Beginners-Guide-to-Animating-with-Procreate/592724804
21894,SAP Security Training for all,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/3-Effective-Techniques-to-Add-Personality-To-Your-Character-Drawings/959163410
21643,Microsoft Excel and PowerPoint Training With Certificate,All Levels,Spanish,No,https://www.skillshare.com/en/classes/A-Simple-Instagram-Marketing-Growth-Strategy-Tools-Hacks-What-they-Dont-Tell-You/269595391
18720,Master CAN protocol completely from Scratch (CAN + CAN-FD),Expert,German,Yes,https://www.skillshare.com/en/classes/Fiverr-10-Simple-Steps-to-Selling-Success/1725815460
26147,Français Intensif - Intensive French Course for Beginners,Beginner,German,No,https://www.skillshare.com/en/classes/How-To-Sketch-Design-Draw-Cars-Like-a-Pro-Pen-Paper-Edition/895471665
17803,CFA Level 1 Ethics Quick 1 hour review ,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/How-to-Use-Elementor-Build-an-Awesome-Wordpress-Website-With-No-Code/1045898965
11153,GDPR - A 3-Step Process for applying GDPR +Tools +Templates™,Expert,French,Yes,https://www.skillshare.com/en/classes/Oil-Painting-Basics-for-Beginners/926292903
21984,Excel 2016 Pivot Tables Deep Dive,Intermediate,German,No,https://www.skillshare.com/en/classes/Master-Typography-Basics-Anatomy-Phrases-Paragraphs-and-Logos/935812382
13096,Start Your Own Cell Phone Business Today,Beginner,German,Yes,https://www.skillshare.com/en/classes/Personal-Branding-101-You-Are-Your-Own-Secret-Sauce/555539363
17952,Mql5 Complete Algorithmic Trading Course for Synthetic,All Levels,French,No,https://www.skillshare.com/en/classes/Color-Theory-for-Creatives-Without-the-Theory-and-Just-the-Fun/886607721
14905,Volatility Trading Via Quantitative Modeling In Excel,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Lumion-Rendering-and-Landscape-design/827285984
25803,Ableton Live 10 Lite - A Comprehensive Course For Beginners,Beginner,French,Yes,https://www.skillshare.com/en/classes/Design-an-Aesthetic-Daily-Dashboard-in-Notion/870788584
24516,Amazon PPC Mastery - Setup Sponsored Products Like a PPC Pro,Expert,Spanish,No,https://www.skillshare.com/en/classes/Experimental-Image-Making-Creating-Striking-Images-with-Scanner-Glitch-Distortions/1117574085
